# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
93            	smoothSolver	4.004550e-04	3.818100e-05	7	5.241260e-03	3.898190e-04	7	2.385110e-03	2.290680e-04	6	false	GAMG	2.537500e-03	1.122200e-05	4	true
94            	smoothSolver	3.884180e-04	3.726100e-05	7	5.105760e-03	3.788800e-04	7	2.323380e-03	2.220830e-04	6	false	GAMG	2.475970e-03	1.182650e-05	4	true
95            	smoothSolver	3.789830e-04	3.645180e-05	7	4.972930e-03	3.668630e-04	7	2.280990e-03	2.169260e-04	6	false	GAMG	2.402020e-03	1.254840e-05	4	true
96            	smoothSolver	3.702720e-04	3.590530e-05	7	4.819160e-03	4.804030e-04	6	2.251620e-03	2.131910e-04	6	false	GAMG	2.344370e-03	1.303270e-05	4	true
97            	smoothSolver	3.665190e-04	3.549370e-05	7	4.699540e-03	4.664410e-04	6	2.229140e-03	2.093580e-04	6	false	GAMG	2.301710e-03	1.305860e-05	4	true
98            	smoothSolver	3.654610e-04	3.512780e-05	7	4.590120e-03	4.501140e-04	6	2.214500e-03	2.061550e-04	6	false	GAMG	2.273970e-03	1.283680e-05	4	true
99            	smoothSolver	3.674210e-04	3.498370e-05	7	4.482460e-03	4.359580e-04	6	2.219330e-03	2.045230e-04	6	false	GAMG	2.266860e-03	1.236610e-05	4	true
100           	smoothSolver	3.714460e-04	3.486160e-05	7	4.401670e-03	4.281910e-04	6	2.235780e-03	2.056480e-04	6	false	GAMG	2.271510e-03	1.185180e-05	4	true
101           	smoothSolver	3.750250e-04	3.475390e-05	7	4.331300e-03	4.258630e-04	6	2.255320e-03	2.086630e-04	6	false	GAMG	2.287370e-03	1.153000e-05	4	true
102           	smoothSolver	3.768350e-04	3.471110e-05	7	4.227080e-03	4.211530e-04	6	2.263060e-03	2.106890e-04	6	false	GAMG	2.307180e-03	1.129430e-05	4	true
103           	smoothSolver	3.772090e-04	3.470850e-05	7	4.106800e-03	3.042780e-04	7	2.261470e-03	2.120720e-04	6	false	GAMG	2.328850e-03	1.113060e-05	4	true
104           	smoothSolver	3.776930e-04	3.511590e-05	7	3.976580e-03	2.980010e-04	7	2.271070e-03	2.157070e-04	6	false	GAMG	2.355600e-03	1.111500e-05	4	true
105           	smoothSolver	3.800190e-04	3.593450e-05	7	3.871810e-03	2.957520e-04	7	2.290980e-03	2.213180e-04	6	false	GAMG	2.397030e-03	1.139060e-05	4	true
106           	smoothSolver	3.850560e-04	3.714120e-05	7	3.831690e-03	2.986910e-04	7	2.337070e-03	2.289130e-04	6	false	GAMG	2.436050e-03	1.175080e-05	4	true
107           	smoothSolver	3.919730e-04	3.842590e-05	7	3.832360e-03	3.041300e-04	7	2.394910e-03	2.384500e-04	6	false	GAMG	2.476050e-03	1.211270e-05	4	true
108           	smoothSolver	3.986690e-04	3.955090e-05	7	3.846460e-03	3.086580e-04	7	2.453110e-03	1.823530e-04	7	false	GAMG	2.508490e-03	1.269110e-05	4	true
109           	smoothSolver	4.033410e-04	3.042230e-05	8	3.854660e-03	3.112100e-04	7	2.494250e-03	1.884440e-04	7	false	GAMG	2.530170e-03	1.310570e-05	4	true
110           	smoothSolver	4.052000e-04	3.059220e-05	8	3.839760e-03	3.109480e-04	7	2.518070e-03	1.931690e-04	7	false	GAMG	2.539560e-03	1.357850e-05	4	true
111           	smoothSolver	4.065040e-04	3.049450e-05	8	3.824570e-03	3.090260e-04	7	2.524800e-03	1.952600e-04	7	false	GAMG	2.539620e-03	1.418770e-05	4	true
112           	smoothSolver	4.111120e-04	4.079520e-05	7	3.846370e-03	3.098760e-04	7	2.536440e-03	1.969390e-04	7	false	GAMG	2.537120e-03	1.501710e-05	4	true
113           	smoothSolver	4.190440e-04	4.146900e-05	7	3.924680e-03	3.155540e-04	7	2.547960e-03	1.987410e-04	7	false	GAMG	2.543420e-03	1.544430e-05	4	true
114           	smoothSolver	4.283010e-04	4.270030e-05	7	4.042410e-03	3.277390e-04	7	2.554040e-03	1.992070e-04	7	false	GAMG	2.557850e-03	1.519570e-05	4	true
115           	smoothSolver	4.356590e-04	3.306730e-05	8	4.160800e-03	3.401690e-04	7	2.545980e-03	1.981540e-04	7	false	GAMG	2.544670e-03	1.434640e-05	4	true
116           	smoothSolver	4.373860e-04	3.363590e-05	8	4.248820e-03	3.501820e-04	7	2.519040e-03	1.974840e-04	7	false	GAMG	2.513290e-03	1.343260e-05	4	true
117           	smoothSolver	4.332720e-04	3.366570e-05	8	4.293980e-03	3.557560e-04	7	2.478260e-03	1.966030e-04	7	false	GAMG	2.472110e-03	1.283230e-05	4	true
118           	smoothSolver	4.238860e-04	3.339520e-05	8	4.297700e-03	3.578290e-04	7	2.426550e-03	1.933730e-04	7	false	GAMG	2.443070e-03	1.248560e-05	4	true
119           	smoothSolver	4.130030e-04	3.304220e-05	8	4.268270e-03	3.571120e-04	7	2.370030e-03	1.883570e-04	7	false	GAMG	2.406860e-03	1.255180e-05	4	true
120           	smoothSolver	4.023410e-04	3.265430e-05	8	4.203350e-03	3.561800e-04	7	2.321650e-03	1.838840e-04	7	false	GAMG	2.340310e-03	1.289350e-05	4	true
121           	smoothSolver	3.943790e-04	3.235950e-05	8	4.136170e-03	3.538250e-04	7	2.279320e-03	1.813320e-04	7	false	GAMG	2.268980e-03	1.328080e-05	4	true
122           	smoothSolver	3.904740e-04	3.219800e-05	8	4.080510e-03	3.477890e-04	7	2.252040e-03	1.801500e-04	7	false	GAMG	2.214030e-03	1.338930e-05	4	true
123           	smoothSolver	3.901560e-04	3.213370e-05	8	4.022570e-03	3.377590e-04	7	2.241870e-03	1.807090e-04	7	false	GAMG	2.170180e-03	1.307220e-05	4	true
124           	smoothSolver	3.907480e-04	3.196350e-05	8	3.952040e-03	3.262570e-04	7	2.236750e-03	1.818990e-04	7	false	GAMG	2.137210e-03	1.251010e-05	4	true
125           	smoothSolver	3.892790e-04	3.159800e-05	8	3.837470e-03	3.141750e-04	7	2.220060e-03	1.825810e-04	7	false	GAMG	2.107970e-03	1.184610e-05	4	true
126           	smoothSolver	3.849350e-04	3.097920e-05	8	3.694020e-03	3.014230e-04	7	2.183580e-03	1.814650e-04	7	false	GAMG	2.076570e-03	1.125590e-05	4	true
127           	smoothSolver	3.789990e-04	3.022410e-05	8	3.533480e-03	2.887760e-04	7	2.131590e-03	1.789440e-04	7	false	GAMG	2.052430e-03	1.123230e-05	4	true
128           	smoothSolver	3.722720e-04	2.941260e-05	8	3.386630e-03	2.777360e-04	7	2.083360e-03	1.752130e-04	7	false	GAMG	2.044710e-03	1.188020e-05	4	true
129           	smoothSolver	3.651510e-04	2.851860e-05	8	3.282630e-03	2.692470e-04	7	2.060360e-03	1.722080e-04	7	false	GAMG	2.047850e-03	1.260710e-05	4	true
130           	smoothSolver	3.606270e-04	2.781540e-05	8	3.222050e-03	2.626230e-04	7	2.049810e-03	1.707760e-04	7	false	GAMG	2.058890e-03	1.297040e-05	4	true
131           	smoothSolver	3.584620e-04	2.729730e-05	8	3.180260e-03	2.579530e-04	7	2.048930e-03	1.704410e-04	7	false	GAMG	2.064140e-03	1.306900e-05	4	true
132           	smoothSolver	3.562790e-04	2.696850e-05	8	3.136330e-03	2.548640e-04	7	2.046420e-03	1.695510e-04	7	false	GAMG	2.058040e-03	1.303650e-05	4	true
133           	smoothSolver	3.524450e-04	2.683010e-05	8	3.071860e-03	2.517040e-04	7	2.042080e-03	1.691790e-04	7	false	GAMG	2.050910e-03	1.311580e-05	4	true
134           	smoothSolver	3.478390e-04	2.684260e-05	8	2.998660e-03	2.486560e-04	7	2.033250e-03	1.684540e-04	7	false	GAMG	2.034410e-03	1.339010e-05	4	true
135           	smoothSolver	3.419280e-04	2.692600e-05	8	2.915500e-03	2.450640e-04	7	2.010350e-03	1.665240e-04	7	false	GAMG	2.005220e-03	1.358850e-05	4	true
136           	smoothSolver	3.372870e-04	2.688240e-05	8	2.828910e-03	2.418080e-04	7	1.978680e-03	1.642480e-04	7	false	GAMG	1.971020e-03	1.345530e-05	4	true
137           	smoothSolver	3.338150e-04	2.677720e-05	8	2.767300e-03	2.392390e-04	7	1.950350e-03	1.621700e-04	7	false	GAMG	1.944360e-03	1.309350e-05	4	true
138           	smoothSolver	3.304220e-04	2.658470e-05	8	2.722900e-03	2.369250e-04	7	1.926720e-03	1.606580e-04	7	false	GAMG	1.919730e-03	1.260870e-05	4	true
139           	smoothSolver	3.280270e-04	2.634460e-05	8	2.688420e-03	2.355730e-04	7	1.904400e-03	1.591990e-04	7	false	GAMG	1.905980e-03	1.198780e-05	4	true
140           	smoothSolver	3.273900e-04	2.604730e-05	8	2.677120e-03	2.355650e-04	7	1.890580e-03	1.594550e-04	7	false	GAMG	1.898710e-03	1.128360e-05	4	true
141           	smoothSolver	3.273880e-04	2.589160e-05	8	2.684450e-03	2.366500e-04	7	1.891720e-03	1.611180e-04	7	false	GAMG	1.905290e-03	1.068000e-05	4	true
142           	smoothSolver	3.284310e-04	2.584780e-05	8	2.727870e-03	2.411790e-04	7	1.900730e-03	1.631770e-04	7	false	GAMG	1.917010e-03	1.048520e-05	4	true
143           	smoothSolver	3.296360e-04	2.585040e-05	8	2.803990e-03	2.494440e-04	7	1.910780e-03	1.641150e-04	7	false	GAMG	1.938680e-03	1.050250e-05	4	true
144           	smoothSolver	3.286850e-04	2.601010e-05	8	2.896310e-03	2.582390e-04	7	1.921040e-03	1.644610e-04	7	false	GAMG	1.967040e-03	1.063390e-05	4	true
145           	smoothSolver	3.273960e-04	2.617530e-05	8	2.990540e-03	2.665000e-04	7	1.929960e-03	1.639480e-04	7	false	GAMG	1.984150e-03	1.072940e-05	4	true
146           	smoothSolver	3.249180e-04	2.617950e-05	8	3.069750e-03	2.729500e-04	7	1.928090e-03	1.619160e-04	7	false	GAMG	1.985580e-03	1.055470e-05	4	true
147           	smoothSolver	3.210990e-04	2.595970e-05	8	3.120730e-03	2.762020e-04	7	1.914240e-03	1.591780e-04	7	false	GAMG	1.974940e-03	1.033890e-05	4	true
148           	smoothSolver	3.150830e-04	2.555940e-05	8	3.155010e-03	2.764320e-04	7	1.889590e-03	1.546760e-04	7	false	GAMG	1.958160e-03	1.032680e-05	4	true
149           	smoothSolver	3.084240e-04	2.500320e-05	8	3.156680e-03	2.737180e-04	7	1.849120e-03	1.486530e-04	7	false	GAMG	1.935650e-03	1.051250e-05	4	true
