# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
66            	2.347262e-03	1.202486e-03	1.144776e-03	8.946372e-04	9.295289e-04	-3.489179e-05	4.822104e-04	2.885537e-05	-5.430638e-05	-6.521546e-05	-8.691411e-05	2.169865e-05
67            	2.347139e-03	1.202489e-03	1.144651e-03	8.953554e-04	9.302529e-04	-3.489751e-05	4.825752e-04	2.891899e-05	-5.450236e-05	-6.487745e-05	-8.694109e-05	2.206364e-05
68            	2.347421e-03	1.202571e-03	1.144849e-03	8.948879e-04	9.297847e-04	-3.489679e-05	4.823407e-04	2.886091e-05	-5.437660e-05	-6.509532e-05	-8.692426e-05	2.182894e-05
69            	2.347303e-03	1.202568e-03	1.144735e-03	8.954723e-04	9.303738e-04	-3.490152e-05	4.826377e-04	2.891629e-05	-5.456512e-05	-6.477061e-05	-8.695043e-05	2.217982e-05
70            	2.347485e-03	1.202603e-03	1.144882e-03	8.949865e-04	9.298856e-04	-3.489910e-05	4.823924e-04	2.886051e-05	-5.442667e-05	-6.500393e-05	-8.692864e-05	2.192471e-05
71            	2.347414e-03	1.202630e-03	1.144783e-03	8.956658e-04	9.305708e-04	-3.490499e-05	4.827379e-04	2.892338e-05	-5.460934e-05	-6.469454e-05	-8.695661e-05	2.226207e-05
72            	2.347601e-03	1.202665e-03	1.144935e-03	8.951359e-04	9.300382e-04	-3.490236e-05	4.824703e-04	2.886482e-05	-5.448034e-05	-6.491258e-05	-8.693663e-05	2.202404e-05
73            	2.347513e-03	1.202679e-03	1.144834e-03	8.957434e-04	9.306506e-04	-3.490723e-05	4.827789e-04	2.892272e-05	-5.465322e-05	-6.461820e-05	-8.696232e-05	2.234412e-05
74            	2.347644e-03	1.202684e-03	1.144960e-03	8.951551e-04	9.300587e-04	-3.490357e-05	4.824811e-04	2.886191e-05	-5.452259e-05	-6.483457e-05	-8.693987e-05	2.210530e-05
75            	2.347603e-03	1.202723e-03	1.144880e-03	8.957720e-04	9.306812e-04	-3.490919e-05	4.827952e-04	2.892116e-05	-5.469224e-05	-6.455070e-05	-8.696759e-05	2.241689e-05
76            	2.347696e-03	1.202711e-03	1.144985e-03	8.952042e-04	9.301091e-04	-3.490491e-05	4.825070e-04	2.886307e-05	-5.455678e-05	-6.477409e-05	-8.694383e-05	2.216974e-05
77            	2.347658e-03	1.202754e-03	1.144904e-03	8.958687e-04	9.307793e-04	-3.491063e-05	4.828450e-04	2.892524e-05	-5.471781e-05	-6.450537e-05	-8.697050e-05	2.246513e-05
78            	2.347754e-03	1.202739e-03	1.145015e-03	8.952327e-04	9.301390e-04	-3.490625e-05	4.825226e-04	2.886216e-05	-5.459335e-05	-6.470935e-05	-8.694802e-05	2.223868e-05
79            	2.347730e-03	1.202784e-03	1.144946e-03	8.958143e-04	9.307259e-04	-3.491159e-05	4.828187e-04	2.891875e-05	-5.475048e-05	-6.444861e-05	-8.697479e-05	2.252617e-05
80            	2.347755e-03	1.202737e-03	1.145018e-03	8.951994e-04	9.301055e-04	-3.490616e-05	4.825058e-04	2.885927e-05	-5.461420e-05	-6.466869e-05	-8.694854e-05	2.227985e-05
81            	2.347767e-03	1.202807e-03	1.144960e-03	8.958861e-04	9.307988e-04	-3.491262e-05	4.828557e-04	2.892309e-05	-5.476688e-05	-6.441944e-05	-8.697661e-05	2.255716e-05
82            	2.347812e-03	1.202767e-03	1.145045e-03	8.952396e-04	9.301470e-04	-3.490742e-05	4.825272e-04	2.886070e-05	-5.464167e-05	-6.462213e-05	-8.695274e-05	2.233061e-05
83            	2.347813e-03	1.202825e-03	1.144987e-03	8.958543e-04	9.307673e-04	-3.491307e-05	4.828402e-04	2.891910e-05	-5.478825e-05	-6.438180e-05	-8.697915e-05	2.259735e-05
84            	2.347804e-03	1.202759e-03	1.145046e-03	8.951849e-04	9.300919e-04	-3.490703e-05	4.824995e-04	2.885655e-05	-5.465846e-05	-6.458826e-05	-8.695259e-05	2.236433e-05
85            	2.347849e-03	1.202843e-03	1.145006e-03	8.958477e-04	9.307614e-04	-3.491369e-05	4.828375e-04	2.891851e-05	-5.480388e-05	-6.435450e-05	-8.698113e-05	2.262663e-05
86            	2.347830e-03	1.202772e-03	1.145057e-03	8.951967e-04	9.301042e-04	-3.490750e-05	4.825058e-04	2.885750e-05	-5.467441e-05	-6.456060e-05	-8.695471e-05	2.239411e-05
87            	2.347869e-03	1.202854e-03	1.145014e-03	8.958795e-04	9.307935e-04	-3.491400e-05	4.828538e-04	2.892020e-05	-5.481359e-05	-6.433674e-05	-8.698196e-05	2.264522e-05
88            	2.347845e-03	1.202778e-03	1.145067e-03	8.951780e-04	9.300857e-04	-3.490771e-05	4.824967e-04	2.885551e-05	-5.469174e-05	-6.452869e-05	-8.695608e-05	2.242739e-05
89            	2.347905e-03	1.202868e-03	1.145038e-03	8.958141e-04	9.307284e-04	-3.491423e-05	4.828213e-04	2.891503e-05	-5.482965e-05	-6.430892e-05	-8.698411e-05	2.267519e-05
90            	2.347832e-03	1.202770e-03	1.145062e-03	8.951448e-04	9.300520e-04	-3.490726e-05	4.824796e-04	2.885398e-05	-5.469887e-05	-6.451348e-05	-8.695561e-05	2.244213e-05
91            	2.347914e-03	1.202876e-03	1.145038e-03	8.958671e-04	9.307817e-04	-3.491459e-05	4.828481e-04	2.891913e-05	-5.483335e-05	-6.430185e-05	-8.698427e-05	2.268242e-05
92            	2.347865e-03	1.202787e-03	1.145078e-03	8.951637e-04	9.300717e-04	-3.490794e-05	4.824898e-04	2.885480e-05	-5.471400e-05	-6.448819e-05	-8.695810e-05	2.246991e-05
93            	2.347941e-03	1.202885e-03	1.145056e-03	8.958116e-04	9.307262e-04	-3.491461e-05	4.828204e-04	2.891446e-05	-5.484512e-05	-6.428128e-05	-8.698576e-05	2.270448e-05
94            	2.347840e-03	1.202771e-03	1.145069e-03	8.951066e-04	9.300138e-04	-3.490721e-05	4.824605e-04	2.885140e-05	-5.471921e-05	-6.447520e-05	-8.695681e-05	2.248161e-05
95            	2.347954e-03	1.202893e-03	1.145061e-03	8.958220e-04	9.307369e-04	-3.491490e-05	4.828259e-04	2.891581e-05	-5.484973e-05	-6.427319e-05	-8.698632e-05	2.271313e-05
96            	2.347861e-03	1.202783e-03	1.145077e-03	8.951232e-04	9.300308e-04	-3.490761e-05	4.824692e-04	2.885289e-05	-5.472795e-05	-6.446108e-05	-8.695849e-05	2.249741e-05
97            	2.347964e-03	1.202898e-03	1.145066e-03	8.958285e-04	9.307434e-04	-3.491492e-05	4.828292e-04	2.891601e-05	-5.485374e-05	-6.426575e-05	-8.698662e-05	2.272087e-05
98            	2.347856e-03	1.202779e-03	1.145077e-03	8.950935e-04	9.300009e-04	-3.490740e-05	4.824541e-04	2.885076e-05	-5.473550e-05	-6.444591e-05	-8.695845e-05	2.251254e-05
99            	2.347984e-03	1.202905e-03	1.145079e-03	8.957813e-04	9.306964e-04	-3.491501e-05	4.828057e-04	2.891277e-05	-5.486143e-05	-6.425270e-05	-8.698778e-05	2.273508e-05
100           	2.347847e-03	1.202774e-03	1.145073e-03	8.950782e-04	9.299853e-04	-3.490710e-05	4.824462e-04	2.885057e-05	-5.473742e-05	-6.444137e-05	-8.695811e-05	2.251674e-05
101           	2.347984e-03	1.202908e-03	1.145076e-03	8.958275e-04	9.307427e-04	-3.491516e-05	4.828289e-04	2.891642e-05	-5.486020e-05	-6.425441e-05	-8.698740e-05	2.273299e-05
102           	2.347866e-03	1.202784e-03	1.145082e-03	8.950880e-04	9.299955e-04	-3.490752e-05	4.824515e-04	2.885089e-05	-5.474628e-05	-6.442663e-05	-8.695960e-05	2.253297e-05
103           	2.348003e-03	1.202914e-03	1.145090e-03	8.957705e-04	9.306856e-04	-3.491511e-05	4.828004e-04	2.891195e-05	-5.486754e-05	-6.424189e-05	-8.698848e-05	2.274659e-05
104           	2.347840e-03	1.202768e-03	1.145071e-03	8.950436e-04	9.299505e-04	-3.490682e-05	4.824286e-04	2.884857e-05	-5.474614e-05	-6.442393e-05	-8.695810e-05	2.253417e-05
105           	2.348006e-03	1.202918e-03	1.145088e-03	8.957987e-04	9.307140e-04	-3.491531e-05	4.828147e-04	2.891463e-05	-5.486678e-05	-6.424321e-05	-8.698838e-05	2.274517e-05
106           	2.347860e-03	1.202780e-03	1.145080e-03	8.950653e-04	9.299726e-04	-3.490728e-05	4.824399e-04	2.885020e-05	-5.475199e-05	-6.441535e-05	-8.695967e-05	2.254431e-05
107           	2.348014e-03	1.202920e-03	1.145093e-03	8.957873e-04	9.307025e-04	-3.491525e-05	4.828089e-04	2.891353e-05	-5.486924e-05	-6.423881e-05	-8.698865e-05	2.274983e-05
108           	2.347845e-03	1.202771e-03	1.145075e-03	8.950320e-04	9.299388e-04	-3.490686e-05	4.824228e-04	2.884809e-05	-5.475426e-05	-6.440919e-05	-8.695886e-05	2.254967e-05
109           	2.348025e-03	1.202925e-03	1.145100e-03	8.957624e-04	9.306777e-04	-3.491534e-05	4.827965e-04	2.891214e-05	-5.487224e-05	-6.423395e-05	-8.698922e-05	2.275527e-05
110           	2.347844e-03	1.202771e-03	1.145073e-03	8.950314e-04	9.299382e-04	-3.490680e-05	4.824225e-04	2.884875e-05	-5.475491e-05	-6.440811e-05	-8.695896e-05	2.255085e-05
111           	2.348023e-03	1.202926e-03	1.145097e-03	8.957963e-04	9.307116e-04	-3.491539e-05	4.828135e-04	2.891474e-05	-5.486989e-05	-6.423782e-05	-8.698880e-05	2.275099e-05
112           	2.347853e-03	1.202775e-03	1.145078e-03	8.950309e-04	9.299379e-04	-3.490699e-05	4.824224e-04	2.884846e-05	-5.476014e-05	-6.439915e-05	-8.695971e-05	2.256056e-05
113           	2.348039e-03	1.202931e-03	1.145109e-03	8.957468e-04	9.306622e-04	-3.491537e-05	4.827888e-04	2.891104e-05	-5.487468e-05	-6.422997e-05	-8.698967e-05	2.275970e-05
114           	2.347832e-03	1.202763e-03	1.145069e-03	8.950019e-04	9.299083e-04	-3.490647e-05	4.824074e-04	2.884723e-05	-5.475804e-05	-6.440087e-05	-8.695848e-05	2.255761e-05
115           	2.348039e-03	1.202933e-03	1.145105e-03	8.957827e-04	9.306983e-04	-3.491553e-05	4.828069e-04	2.891416e-05	-5.487159e-05	-6.423542e-05	-8.698930e-05	2.275388e-05
116           	2.347852e-03	1.202774e-03	1.145077e-03	8.950216e-04	9.299286e-04	-3.490691e-05	4.824177e-04	2.884854e-05	-5.476261e-05	-6.439451e-05	-8.695986e-05	2.256535e-05
117           	2.348048e-03	1.202936e-03	1.145112e-03	8.957582e-04	9.306737e-04	-3.491548e-05	4.827946e-04	2.891209e-05	-5.487386e-05	-6.423170e-05	-8.698971e-05	2.275801e-05
118           	2.347833e-03	1.202763e-03	1.145070e-03	8.949885e-04	9.298950e-04	-3.490642e-05	4.824007e-04	2.884662e-05	-5.476206e-05	-6.439334e-05	-8.695873e-05	2.256539e-05
